product_id,sku,category,brand,list_price,unit_cogs
176,SKU0176,Electronics,Zenith,341.46,192.75
177,SKU0177,Home,Pulse,41.23,27.51
178,SKU0178,Accessories,Nova,57.18,36.55
179,SKU0179,Sports,Nova,98.59,56.2
180,SKU0180,Accessories,Sierra,50.78,27.76
181,SKU0181,Accessories,Nova,32.95,19.98
182,SKU0182,Home,Sierra,73.22,41.05
183,SKU0183,Accessories,Aurum,24.59,16.05
184,SKU0184,Electronics,Pulse,172.36,111.23
185,SKU0185,Electronics,Sierra,129.4,80.26
186,SKU0186,Beauty,Aurum,36.63,18.79
187,SKU0187,Sports,Nova,70.39,37.56
188,SKU0188,Accessories,Nova,22.53,16.84
189,SKU0189,Accessories,Aurum,32.89,23.1
190,SKU0190,Home,Nova,49.19,32.98
191,SKU0191,Electronics,Aurum,323.27,209.77
192,SKU0192,Sports,Sierra,86.59,52.21
193,SKU0193,Beauty,Sierra,27.44,20.1
194,SKU0194,Electronics,Aurum,345.8,256.33
195,SKU0195,Beauty,Sierra,16.21,11.07
196,SKU0196,Home,Sierra,114.14,62.24
197,SKU0197,Home,Sierra,31.32,21.46
198,SKU0198,Accessories,Zenith,42.98,30.54
199,SKU0199,Sports,Pulse,46.77,32.68
200,SKU0200,Beauty,Nova,20.08,10.86
